palabras,deportes,salud,politica,idf,tf-idf_deportes,tf-idf_salud,tf-idf_politica
consejo,0,21,0,0.47712125471966244,0.0,0.13012397855990793,0.0
díaz,0,18,0,0.47712125471966244,0.0,0.11153483876563537,0.0
cosas,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
salud,0,0,61,0.47712125471966244,0.0,0.0,0.47712125471966244
familia,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
nacional,0,15,0,0.47712125471966244,0.0,0.09294569897136282,0.0
presidente,16,24,0,0.17609125905568124,0.04205164395359552,0.05488558723813441,0.0
astrazeneca,0,0,16,0.47712125471966244,0.0,0.0,0.12514655861499344
ley,0,38,0,0.47712125471966244,0.0,0.23546243739411912,0.0
congreso,0,18,0,0.47712125471966244,0.0,0.11153483876563537,0.0
presupuestos,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
socialista,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
franco,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
mayor,12,0,21,0.17609125905568124,0.03153873296519664,0.0,0.06062158098638207
pilotos,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
protección,0,14,16,0.17609125905568124,0.0,0.032016592555578406,0.04618787122771967
siete,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
lunes,0,19,14,0.17609125905568124,0.0,0.04345108989685641,0.04041438732425471
ciudadanos,0,0,18,0.47712125471966244,0.0,0.0,0.1407898784418676
sistema,0,14,13,0.17609125905568124,0.0,0.032016592555578406,0.03752764537252223
nuevo,14,14,18,0.0,0.0,0.0,0.0
bares,0,0,16,0.47712125471966244,0.0,0.0,0.12514655861499344
dar,14,0,0,0.47712125471966244,0.09969697859813842,0.0,0.0
grandes,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
ahora,40,20,21,0.0,0.0,0.0,0.0
fórmula,13,0,0,0.47712125471966244,0.09257576584112853,0.0,0.0
covid,0,15,57,0.17609125905568124,0.0,0.03430349202383401,0.16454429124875133
democracia,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
respecto,0,10,0,0.47712125471966244,0.0,0.06196379931424187,0.0
campeonato,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
victoria,14,0,0,0.47712125471966244,0.09969697859813842,0.0,0.0
español,20,0,0,0.47712125471966244,0.14242425514019774,0.0,0.0
balón,14,0,0,0.47712125471966244,0.09969697859813842,0.0,0.0
cierre,0,0,21,0.47712125471966244,0.0,0.0,0.16425485818217886
general,0,22,0,0.47712125471966244,0.0,0.13632035849133212,0.0
aforo,0,0,15,0.47712125471966244,0.0,0.0,0.11732489870155634
primer,15,0,0,0.47712125471966244,0.1068181913551483,0.0,0.0
mejor,45,0,0,0.47712125471966244,0.3204545740654449,0.0,0.0
semana,0,16,51,0.17609125905568124,0.0,0.03659039149208961,0.14722383953835644
champions,25,0,0,0.47712125471966244,0.17803031892524718,0.0,0.0
portavoz,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
días,22,18,44,0.0,0.0,0.0,0.0
parte,22,23,24,0.0,0.0,0.0,0.0
europea,0,0,15,0.47712125471966244,0.0,0.0,0.11732489870155634
público,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
manera,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
coronavirus,0,0,19,0.47712125471966244,0.0,0.0,0.1486115383553047
partir,0,0,23,0.47712125471966244,0.0,0.0,0.17989817800905303
título,13,0,0,0.47712125471966244,0.09257576584112853,0.0,0.0
san,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
durante,27,0,26,0.17609125905568124,0.07096214917169244,0.0,0.07505529074504445
dosis,0,0,53,0.47712125471966244,0.0,0.0,0.4145479754121657
horas,15,0,26,0.17609125905568124,0.0394234162064958,0.0,0.07505529074504445
ministra,0,16,0,0.47712125471966244,0.0,0.099142078902787,0.0
ganar,23,0,0,0.47712125471966244,0.1637878934112274,0.0,0.0
vida,20,0,0,0.47712125471966244,0.14242425514019774,0.0,0.0
pasado,35,16,24,0.0,0.0,0.0,0.0
mayo,0,0,17,0.47712125471966244,0.0,0.0,0.1329682185284305
nuevos,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
años,67,41,29,0.0,0.0,0.0,0.0
decisión,0,13,15,0.17609125905568124,0.0,0.029729693087322807,0.04330112927598719
noviembre,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
datos,0,0,24,0.47712125471966244,0.0,0.0,0.18771983792249014
madrid,50,33,37,0.0,0.0,0.0,0.0
hostelería,0,0,20,0.47712125471966244,0.0,0.0,0.15643319826874177
